name,locale
Arts and crafts/hobby materials,en
Art theory (teaching),en
Art valuation,en
AS/400 Control Language,en
Asbestos decontamination,en
Asbestos decontamination (providing training),en
Asian archaeology,en
Ask key questions,en
Asperger syndrome (care experience),en
Asperger syndrome (special teaching methods),en
Asphalt coating,en
Asphalt crushing,en
Assembler (programming language),en
Assembly (electrical/telephone),en
Assembly (leather),en
Assembly (mechanics),en
Assembly (metal),en
Assembly (paper/textile),en
Assembly (plastic),en
Assembly (rubber),en
Assembly (wood),en
Assembly of parts,en
Assess environmental impact,en
Assessment of amounts,en
Asset management,en
Astronomy,en
ASW (business administration system),en
Asylum and immigration law,en
Asynchronous Transfer Mode (ATM),en
Athletics (training/coaching),en
Atom absorption spectrophotometry (AAS),en
Atomic and molecular physics,en
ATP inspection,en
Attend to detail,en
Attend to quality,en
Attitudes,en
Attitudes and values at work,en
Audiology,en
Audiology (medico-technical engineering),en
Audiology (teaching),en
Audiometry,en
Audiometry and hearing impairment,en
Audiovisual engineering,en
Audio-visual tools,en
Auditing,en
Autism (special teaching methods),en
Autism care,en
AutoCAD,en
AutoCAD Architecture,en
AutoCAD Civil 3D,en
AutoCAD ecscad,en
AutoCAD LT,en
AutoCAD Map 3D,en
AutoCAD Mechanical,en
AutoCAD MEP,en
Autodesk 3ds Max,en
Autodesk Maya,en
Autodesk Mechanical Desktop,en
Autodesk Softimage,en
Automatic control engineering (sales),en
Automatic control technology (teaching),en
Automatic door lock technology,en
Automatic pressing,en
Automatic Radar Plotting Aid (ARPA),en
Automatic turning,en
Automatic welding,en
Automation technology,en
Automobile inspection (providing training),en
Automotive electronics,en
Automotive engineering,en
AVID Media Composer,en
Awning sewing,en
Awnings fitting,en
Baby massage (providing training),en
Baby swimming (instructing),en
Backoffice,en
Back surgery,en
Bacteriology,en
Badminton (training/coaching),en
Bag design,en
Baggage handling,en
Bagpipes playing,en
Bake-off baking,en
Bakery and confectionery products,en
Baking,en
Baking (providing training),en
Balalaika playing,en
Balancing (tyres),en
Balcony glazing,en
Balcony renovation,en
Ballads (instrumental performance),en
Ballads (vocal performance),en
Balloon flying,en
Ballroom dancing (teaching),en
Bandoneon playing,en
Band sawing,en
Bandy (training/coaching),en
Banjo (teaching),en
Banjo playing,en
Banking law,en
Banking services,en
Bankruptcy law,en
Barbershop services,en
Baritone saxophone playing,en
Baritone voice,en
Baroque style (instrumental performance),en
Baroque style (vocal performance),en
Barrel making,en
Barrel replacement,en
Bartending,en
Baseball/softball (training/coaching),en
Base Maintenance,en
BASIC (programming language),en
Basic adult education guidance,en
Basic baking,en
Basic cleaning,en
Basic computer proficiency (teaching),en
Basic cooking,en
Basic oxygen steelmaking,en
Basic sewing,en
Basic vehicle servicing,en
Basketball (training/coaching),en
Basket-making,en
Bass clarinet playing,en
Bassoon (teaching),en
Bassoon playing,en
Bass trombone (teaching),en
Bass tuba (teaching),en
Bass tuba playing,en
Bass voice,en
Batch mixing,en
Battery charging,en
B-check (flight maintenance),en
Beach holiday travel (guide experience),en
Beard shaving and trimming,en
Beatnik Audio Engine (MiniBae),en
Be curious,en
Bedrock geology,en
Beef cutting-up,en
Beekeeping,en
Behavioural science,en
Behavioural therapy,en
Bellfounding,en
Bench drilling,en
Benchmarking,en
Bench work,en
Bending (CNC),en
Bending (conventional machine),en
Bending tools (manufacturing),en
Berry growing,en
Berry picking,en
Biathlon (training/coaching),en
Bicycles,en
Bicycles (repairing),en
Bill-posting,en
Biochemistry,en
Biochemistry (biomedical analysis),en
Biochemistry (teaching),en
Bioengineering,en
Biological laboratory work,en
Biological sciences,en
Biology,en
Biology (teaching),en
Biomedical analysis,en
Biomedicine/molecular biophysics (biological materials),en
Biomedicine (teaching),en
Biometrics/biostatistics (living organisms),en
Biopathy (biological),en
Biopharmacy,en
Biotechnology (teaching),en
Bio-testing,en
Birch bark handicrafts,en
Bird taxidermy,en
Blackjack (croupier),en
Blanking and piercing (sheet metal),en
Blasting,en
Blasting (farming and forestry),en
Blasting (line work),en
Blasting (small holes),en
Blasting supervision,en
Bleaching technology,en
Bliss communication,en
Block casting,en
Bloodgroup serology,en
Blow moulding,en
Blues (instrumental performance),en
Blues (vocal performance),en
Bluetooth technology,en
Boarding school (caretaking),en
Boat building,en
Boat engines (fitting),en
Boat engines (repairing),en
Boat fittings (manufacture and fitting),en
Boating articles,en
Boats,en
Boat transport driving,en
Bocad-3D,en
Bodyguard services,en
Boiling water reactor technology (nuclear),en
Bonds,en
Bone-anchored hearing aids,en
Bookbinding,en
Bookbinding technology,en
Book board making,en
Book-keeping,en
Book lending management,en
Book placing,en
Book preservation,en
Book publishing responsibility,en
Books and authors,en
Border Gateway Protocol (BGP),en
Boring (CNC),en
Boring (conventional boring machine),en
Botany,en
Bottle rinsing,en
Bouzouki (teaching),en
Bouzouki playing,en
Bowed string instrument (teaching),en
Bowling (training/coaching),en
Boxing (training/coaching),en
Braces (dentistry),en
Braille print,en
Brake system (development and design),en
Brake system (installation and maintenance),en
Brass casting,en
Braze welding,en
Brazing,en
Breakdown rolling,en
Breakfast buffet catering,en
Breaking up concrete,en
Brewery work,en
Brick factory work,en
Bridge construction,en
Bridge engineering,en
Bridge inspection,en
Bridge painting,en
Broaching,en
Broadcast property management,en
Brokerage,en
Bronze age archaeology,en
Bryce 3D,en
Btrieve (database administration),en
Btrieve (programming),en
Budgetary guidance,en
Budget design,en
Budget follow-up,en
Budget monitoring,en
Budget responsibility,en
Budo (training/coaching),en
Buffet preparation,en
Builders hardware,en
Building design,en
Building exterior blast cleaning,en
Building hoist (installation),en
Building inspection,en
Building maintenance (cemetery),en
Building maintenance (farming),en
Building maintenance (heating/water/sanitation),en
Building materials technology,en
Building preservation,en
Building preservation with older methods (masonry),en
Building preservation with older methods (stucco),en
Building preservation with older methods (timber),en
Buildings construction and civil engineering (teaching),en
Building site cleaning,en
Buildings maintenance,en
Building with timber,en
Build on experience,en
Build relationships,en
Bulk goods handling,en
Bulk transport,en
Bulldozer,en
Bulletin Board System (BBS),en
Burglar alarms (installation),en
Burglar alarms (repairing),en
Burglar alarms (servicing),en
Burglary inspection (corporate),en
Burglary inspection (private),en
Bus driving,en
Bus driving (providing training),en
Buses,en
Business administration,en
Business analysis,en
Business and accounting systems (teaching),en
Business and administration,en
Business cycle policy,en
Business development,en
Business economics (teaching),en
Business intelligence,en
Business interruption insurance,en
Business language (teaching),en
Business management (archives),en
Business management (bank),en
Business management (business sector),en
Business management (camping/holiday village),en
Business management (cleaning company),en
Business management (community high school),en
Business management (construction company),en
Business management (department store),en
Business management (farming business),en
Business management (forestry),en
Business management (gardening business),en
Business management (golf course),en
Business management (laboratory),en
Business management (laundry business),en
Business management (library),en
Business management (media),en
Business management (museum),en
Business management (non-profit association),en
Business management (postal services),en
Business management (power company),en
Business management (primary school),en
Business management (public parks and gardens),en
Business management (school for children with with learning difficulties),en
Business management (secondary school),en
Business management (shipping company),en
Business management (sports facility),en
Business management (sports hall),en
Business management (swimming baths),en
Business management (telephony),en
Business management (trade organisation),en
Business management (training company),en
Business management (training school),en
Business management (trotting track),en
Business management (university),en
Business management (water supply works),en
Business management (workshop),en
Business systems,en
Business travel sales,en
Bus spray painting,en
Button sewing machine,en
C (programming language),en
C#,en
C++ (builder programming tool),en
C++ (programming language),en
Cabinet-making,en
Cabinet painting,en
Cable and wire mounting,en
Cable installations,en
Cable TV network (installation),en
Cabling assembly,en
Cach̩,en
CAD drawing,en
CADDS (Computer Aided Design and Drafting Software),en
CadPoint,en
CADRA,en
Cadwork,en
Caf̩ (cold food preparation),en
Caf̩ (waiting),en
Cakes (baking),en
Calculation,en
Calculations for power systems,en
Calendering,en
Calendering machine (operation),en
Calf slaughtering,en
Calibration,en
Calligraphy,en
Calligraphy (teaching),en
Cameras and photographic articles,en
Candy and confectionery,en
Canoeing (training/coaching),en
Canteen kitchen (cold food preparation),en
Canteen kitchen (cooking),en
Canteen service (teaching),en
Canvassing,en
Capability analysis,en
Capillary electrophoresis (CE),en
Capital market analysis,en
Car alarm installation,en
Caravans,en
Car body engineering,en
Car body repair,en
CARD/1,en
Cardboard machine (operation),en
Carding/open-end spinning,en
Carding/ring spinning,en
Cardiology,en
Cardiology (teaching),en
Cardiopulmonary rescuscitation,en
Cardiovascular diseases (physiotherapy),en
Car disassembly,en
Car driving (providing training),en
Care/nursing (teaching),en
Care and nursing,en
Care development nursing,en
Car electrics,en
Care of dementia patients (teaching),en
Care of the addicted,en
Caretaking,en
Caretaking (church),en
Caretaking (hospital),en
Caretaking (school),en
Car glazing,en
Car painting,en
Carpentry,en
Carpentry (civil engineering projects),en
Carpentry (house-building projects),en
Carpet cleaning,en
Carpet-laying,en
Carpets,en
Carry out work-related calculations,en
Cars,en
Cars (general repairing),en
Car stereo (repairing),en
Car test-driving,en
Cartography,en
Cartoon drawing,en
Cascading Style Sheets (CSS),en
CASE tools (Computer Aided Software Engineering),en
Cashiering,en
Cash management,en
Cash register balancing,en
Cassette copying,en
Cast alloys,en
Casting,en
Casting (class 1),en
Casting (class 2),en
Castings work,en
Cataloguing (archaeological objects),en
Cataloguing (library),en
Cataloguing (museum),en
Catamaran,en
Catering,en
Catering economics,en
Catering management,en
Catering supervising,en
Caterpillar bulldozer,en
CATIA design program,en
Cattle management,en
Cautious blasting,en
C-check (flight maintenance),en
CD, DVD, video,en
Ceiling fitting,en
Celesta playing,en
Cell culture (biomedical analysis),en
Cell culture (teaching),en
Cello (teaching),en
Cello playing,en
Cellular biology,en
Cellulose products,en
Cembalo playing,en
Cement manufacturing,en
Cement moulding,en
Centreless grinding,en
Centrifugal blasting,en
Ceramic design,en
Ceramics (archaeology),en
Ceramics (dentistry),en
Ceramics (teaching),en
Ceramics technology (engineering),en
CGI (programming language),en
CGI-script (programming language),en
Chain stitch machine,en
Chamber music (instrumental performance),en
Chamber music (vocal performance),en
Character dancing,en
Character dancing (teaching),en
Character investigation (criminal cases),en
Charter travel (operations),en
Charter travel sales,en
Chased work,en
Chassis engineering,en
Check facts,en
Cheese and delicatessen,en
Cheese pressing,en
Chemical engineering,en
Chemical laboratory engineering,en
Chemical laboratory work,en
Chemical-pharmaceutical documentation,en
Chemicals (decontamination),en
Chemicals (tank operation),en
Chemical-technical products,en
Chemical technology,en
Chemical technology (sales),en
Chemical technology (teaching),en
Chemistry,en
Chemistry (teaching),en
Chemometrics (multivariate analysis),en
Chemotherapy/cancer treatment (nursing),en
Chick sexing,en
Child and adolescent allergies,en
Child and adolescent cardiology,en
Child and adolescent disorders,en
Child and adolescent neurology and rehabilitation,en
Child and adolescent pedagogy (teaching),en
Child and adolescent psychiatry,en
Child and adolescent psychotherapy,en
Child and adolescent radiology,en
Child and adolescent surgery,en
Child care / child welfare (nursing),en
Child law (teaching),en
Childminding,en
Childminding in an allergy-adapted environment,en
Child psychology,en
Child rehabilitation,en
Children's/recreation programme (teaching),en
Children's books (editorial adaptation),en
Children's clothes,en
Children's dancing (teaching),en
Children's rehabilitation (occupational therapy),en
Children's shoes (manufacturing),en
Children in hospital (nursing),en
Children with special needs,en
Children with special needs (special teaching methods),en
Child studies (teaching),en
Chill casting technology,en
Chill moulding,en
Chimney bricklaying,en
Chimney sealing,en
Chimney-sweeping,en
Chinese cuisine,en
Chinese language teaching,en
Chiropodic care (medical),en
Chiropractic (neurology),en
Chiropractic (paediatrics),en
Chiropractic (rheumatological complications),en
Chiropractic (sports medicine),en
Chiropractic (X-ray interpretation),en
Choir leading,en
Choir singing,en
Choose method of electronic interaction,en
Choose online security measures,en
Choose relevant mathematical concepts and procedures,en
Choreography (character dancing),en
Choreography (classical ballet),en
Choreography (film production),en
Choreography (freestyle dancing),en
Choreography (jazz dancing),en
Choreography (modern dancing),en
Choreography (show dancing),en
Choreography (stage production),en
Christian activities,en
Chrome-plating,en
Chrome tanning,en
Churchyard caretaking,en
CICS (Customer Information Control System),en
CINEMA 4D application,en
Cinema projection operation,en
Circuit board assembly,en
Circuit design,en
Circular feed table,en
Circular grinding,en
Circular knitting machine,en
City postal delivery service,en
Civics (teaching),en
Civil engineering,en
Civil engineering (sales),en
Civil engineering (teaching),en
Civil engineering project design,en
Civil engineering work,en
Civil engineering works (repairing),en
Civil law (teaching),en
Civil meteorological service,en
Claims adjustment (accident insurance),en
Claims adjustment (company insurance),en
Claims adjustment (home insurance),en
Claims adjustment (sickness and accident insurance),en
Claims adjustment (vehicle insurance),en
Claims handling,en
Clarinet (teaching),en
Clarinet playing,en
Classical ballet,en
Classical ballet (teaching),en
Classical music (instrumental performance),en
Classical music (teaching),en
Classical music (vocal performance),en
Classification of documents,en
Clavichord playing,en
Clavichords (repairing),en
Clay manufacturing,en
Cleaning (hospitality industry),en
Cleaning (kindergarten/school),en
Cleaning (private homes),en
Cleaning in place,en
Cleaning inspections,en
Cleaning materials,en
Cleaning services,en
Cleanroom technology,en
Clean room work,en
Clearing,en
Client/server (programming),en
Climate control engineering,en
Climatology,en
Climbing (training/coaching),en
Clinical bacteriology,en
Clinical bacteriology (teaching),en
Clinical chemistry,en
Clinical chemistry (biomedical analysis),en
Clinical chemistry (teaching),en
Clinical cytology,en
Clinical cytology (biomedical analysis),en
Clinical cytology (teaching),en
Clinical genetics,en
Clinical genetics (teaching),en
Clinical immunology,en
Clinical immunology (teaching),en
Clinical laboratory,en
Clinical medicine (teaching),en
Clinical neurophysiology,en
Clinical nutrition,en
Clinical pathology,en
Clinical pathology (teaching),en
Clinical pharmacology,en
Clinical pharmacology (teaching),en
Clinical physiology,en
Clinical physiology (biomedical analysis),en
Clinical physiology (teaching),en
Clinical psychology,en
Clinical testing,en
Clinical virology,en
Clinical virology (teaching),en
Clockmaking,en
Clothes sketching,en
Clowning,en
CM, Configuration Management,en
CNC machining centre,en
CNC programming,en
CNC systems (maintenance),en
Coagulation/haemorrhagic disorders,en
Coarse crushing of ore,en
Coarse grinding,en
Coarse sand-filter drilling,en
Coastal watch,en
Coating machine (operation),en
Cobalt-chromium (dentistry),en
Cobol (programming language),en
Code Division Multiple Access system (CDMA),en
Code lock technology,en
Cog grinding,en
Cognitive psychology,en
Cognitive science (teaching),en
Cognitive therapy,en
Cognos Controller,en
Cognos Enterprise,en
Cognos Express,en
Cognos Insight,en
Cognos TM1,en
Coiffure,en
Coins (archaeology),en
Coins (numismatics),en
Coin valuation,en
Cold-rolling,en
Cold-storage plant (maintenance),en
Cold table preparation,en
Collaborate on tasks,en
Collective agreements,en
Collective living for persons with learning difficulties (care),en
Coloration (artistic),en
Colostomy (nursing),en
Colour balance,en
Colour pass adjustment,en
COM/DCOM (distributed object technology),en
Combination scaffolding,en
Combined cognitive and behavioural therapy,en
Combustion plant (maintenance),en
Combustion technology,en
Comfort cooling,en
Comic art,en
Commedia dell'arte,en
Commerce and administration programme (teaching),en
Commercial law,en
Commercial property (brokering),en
Commercial refrigeration,en
Commonhold (brokering),en
Communicate mathematical work processes,en
Communicate on-line,en
Communication architecture (teaching),en
Communications protocol (surveillance),en
Communication theory (teaching),en
Community college (teaching),en
Community college guidance,en
Community editorial work,en
Community medicine,en
Community medicine (teaching),en
Community planning,en
Community work,en
Companionship,en
Company analysis,en
Company formation,en
Company law,en
Company law (teaching),en
Company libraries,en
Company ownership transfers,en
Company reconstructions,en
Company valuation,en
Competition law,en
Competitor monitoring,en
Complex programmable logic device (CPLD),en
Component soldering,en
Composing artificial music,en
Composing classical music,en
Composing electro-acoustic music,en
Composing film music,en
Composing folk music,en
Composing for an orchestra,en
Composing jazz music,en
Composing popular music,en
Composing religious music,en
Compression moulding,en
Compression technology,en
Computer-aided blasting calculation,en
Computer-aided control systems,en
Computer-aided design (clothing),en
Computer Aided Design and Manufacturing systems (CAD/CAM),en
Computer-aided dietary planning,en
Computer-aided engineering,en
Computer-aided feeding calculations,en
Computer-aided manufacture,en
Computer-aided nutritional calculation,en
Computer-aided trouble-shooting (automotive),en
Computer architecture (teaching),en
Computer communications (teaching),en
Computer-controlled drilling rigs,en
Computer-controlled feeding,en
Computerised cheese making,en
Computerised control systems,en
Computerised floor-laying,en
Computerised foil cutting,en
Computerised glass cutting,en
Computerised linguistics,en
Computerised numerical control,en
Computer programming (teaching),en
Computers and peripherals,en
Computer science (teaching),en
Computer skills for persons with special needs,en
Computer technology (engineering),en
Computer technology (sales),en
Computer telephony integration (CTI),en
Computer tomography (CT),en
Computing,en
Computing (teaching),en
Computing accessories,en
Computing and network solutions,en
Concertina (teaching),en
Concertina playing,en
Concrete/asphalt surfaces,en
Concrete blasting,en
Concrete casting,en
Concrete mixers,en
Concrete mixer truck driving,en
Concrete pumps,en
Concrete structures,en
Concrete technology,en
Concrete work,en
Condensed matter physics,en
Conducting (teaching),en
Conductometry,en
Confectionary preparation,en
Confectionery baking,en
Conference administration,en
Conference interpretation,en
Conference services,en
Conflict solving (human resources management),en
Conjurer's tricks,en
Connective tissue massage,en
Consecutive interpretation,en
Conservation of cultural environments (teaching),en
Consider alternative views,en
Consider different cultural backgrounds,en
Consider impact of judgement,en
Consolidated financial statement,en
Constitutional law,en
Constitutional law (teaching),en
Construction carpentry,en
Construction diving,en
Construction economy,en
Construction engineering,en
Construction geology,en
Construction inspection (heating/water/sanitation),en
Construction machinery,en
Construction materials,en
Construction painting,en
Construction-related painting (teaching),en
Construction sheet metal work,en
Construction sheet metal work (teaching),en
Construction site cleaning,en
Construction technology,en
Construction technology (engineering),en
Construction work,en
Construction work (organ case),en
Construction work (repairing),en
Construction work (windchest),en
Consumer economics,en
Consumer guidance,en
Consumer issues,en
Contact lenses,en
Contact person services,en
Continuous casting,en
Continuous improvement work,en
Contrabass (teaching),en
Contract drafting,en
Contract insurance,en
Contract law,en
Contract law (teaching),en
Contralto voice,en
Control engineering,en
Control of infectious material,en
Control technology,en
Conversion technology,en
Cooking (teaching),en
Cooling bed,en
Cooperation talks in divorce cases,en
Coordinate actions,en
Coordinating ceremonies,en
Coordination of measuring machines,en
Coordination of refugee reception,en
Cope with pressure,en
Copper forging,en
Copperplate engraving,en
Copper-work design,en
Copying machines servicing,en
Copy lathe turning,en
Copyright law,en
Copyright law (teaching),en
CORBA standard,en
Core drilling,en
CorelDRAW,en
Corel PaintShop Pro,en
Corel Ventura,en
Core making,en
Cork work,en
Cornet (teaching),en
Cornet playing,en
Corporate finance,en
Correctional care issues,en
Correctional treatment,en
Correspondence assignment examination,en
Costume design,en
Costumes (film/TV),en
Costumes (theatre),en
Coulometry,en
Countertenor voice,en
Counter-weight truck,en
Country monitoring,en
Country music (instrumental performance),en
Country music (vocal performance),en
Courier service van driving,en
Cover music (instrumental performance),en
Cover music (vocal performance),en
Crane driving,en
Crane lorry driving,en
Create electronic content,en
Create implementation strategy,en
Creative and entrepreneurial thinking,en
Creative work (care of pre-school and school children),en
Creative writing (teaching),en
Credit law,en
Credit rating,en
Credit risk,en
Credit status information,en
Cremation technology,en
Criminal investigations,en
Criminal law,en
Criminal law (teaching),en
Criminology,en
Crisis counselling (social work),en
Crisis handling (staff administration),en
Crisis interpretation,en
Crisis management,en
Crisis therapy,en
Critical thinking,en
Critique reasoning,en
Cross-check electronic information,en
Cross-country skiing (training/coaching),en
Cross-cutting (equipment maintenance/verification),en
Crowd management,en
Cruise-ship,en
Crystal Reports,en
Cuboid (equipment operation, settings),en
Cultivation (farming),en
Cultural activities (coordination and planning),en
Cultural environment protection,en
Cultural feature writing,en
Cultural sociology,en
Cultural studies,en
Curling (training/coaching),en
Currency exchange,en
Curtain coating,en
Curtain sewing,en
Custody investigations,en
Customer relationship management,en
Customer services,en
Customs criminal investigations,en
Cutting-out (crude glass),en
Cutting-out (leather),en
Cutting-out (textiles),en
Cutting-out (tyre rubber),en
Cutting-out of textiles (teaching),en
Cycling (training/coaching),en
Cylinder engraving,en
Cylinder lock technology,en
Cylinder machine,en
Cylindrical grinding,en
Cymbals playing,en
Daily press journalism,en
Daily record keeping,en
Dairy industry (washing and cleaning),en
Dairy products,en
Dairy technology (engineering),en
Damage assessment,en
Damage clearance,en
Damage investigations,en
Dance and ballet articles,en
Dance band (instrumental performance),en
Dance band (vocal performance),en
Dance therapy,en
Dancing (providing training),en
Dancing (training/coaching),en
Dancing ability (acting),en
Dangerous goods,en
Dangerous goods (providing training),en
Dark-room assistance,en
Darkroom work,en
Data/text processing (teaching),en
Data analysis,en
Database administration (teaching),en
Database design (logical),en
Database design (physical),en
Database design (teaching),en
Database operation (providing training),en
Data communications,en
Data modelling,en
Data processing and analysis,en
Data warehouse,en
DaVinci Resolve,en
Day care of persons with learning difficulties  (care),en
DB2 database administration,en
DB2 programming,en
Deal with uncertainty,en
DeBabelizer (image editor),en
Debate stenography,en
Debating techniques,en
Debt collection,en
Debt restructuring negotiations,en
Deburring,en
Deceased persons' estates (involving company assets),en
Deceased persons' estates (involving farming assets),en
Deceased persons' estates (involving real estate),en
Decide priorities,en
Decision support systems (teaching),en
Decorative painting,en
Deep drawing,en
Deep hole boring,en
Deep-sea fishing,en
Defibrator operation,en
Dehumidification,en
De-icing of aircrafts,en
Delivery by bicycle,en
Delivery by Moped,en
Delivery by motorcycle,en
Delivery lorry (parcel goods),en
Delivery lorry driving,en
Delivery monitoring,en
Delivery planning,en
Delivery ward nursing,en
Dementia patients (care),en
Demography,en
Demography (teaching),en
Demolition,en
Demonstrate commitment,en
Demonstrate tolerance,en
Demountable body vehicle (driving),en
Dense wavelength division multiplexing (DWDM),en
Dental anaesthesia,en
Dental care (teaching),en
Dental hypnosis,en
Dental radiology (X-ray),en
Dental technology (providing training),en
Dentistry care/nursing (teaching),en
Department responsibility (supermarket),en
Depression treatment,en
Derivatives (finance),en
Dermatology,en
Dermatology (treatment),en
Dermatology and STD (sexually transmitted diseases),en
Descriptive statistics,en
Design,en
Design (teaching),en
