rank_2014,rank_2013,score_2015,name
1,1,100,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2,3,99.4,UNIVERSITY OF CAMBRIDGE
2,5,99.4,IMPERIAL COLLEGE LONDON
4,2,99.3,HARVARD UNIVERSITY
5,6,99.2,UNIVERSITY OF OXFORD
5,4,99.2,UCL (UNIVERSITY COLLEGE LONDON)
7,7,98.3,STANFORD UNIVERSITY
8,10,97.1,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
9,10,96.6,PRINCETON UNIVERSITY
10,8,96.5,YALE UNIVERSITY
11,9,95.5,UNIVERSITY OF CHICAGO
12,12,95.3,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
13,13,94.5,UNIVERSITY OF PENNSYLVANIA
14,14,94.1,COLUMBIA UNIVERSITY
14,16,94.1,JOHNS HOPKINS UNIVERSITY
16,19,92.9,KING'S COLLEGE LONDON (KCL)
17,17,92.8,UNIVERSITY OF EDINBURGH
17,19,92.8,ECOLE POLYTECHNIQUE FﾃDﾃRALE DE LAUSANNE (EPFL)
19,15,92.6,CORNELL UNIVERSITY
20,17,92.4,UNIVERSITY OF TORONTO
21,21,91.5,MCGILL UNIVERSITY
22,24,91.1,NATIONAL UNIVERSITY OF SINGAPORE (NUS)
23,22,90.3,UNIVERSITY OF MICHIGAN
24,28,90.2,"ECOLE NORMALE SUPﾃRIEURE, PARIS (ENS PARIS)"
25,27,89.7,AUSTRALIAN NATIONAL UNIVERSITY (ANU)
26,23,89.6,DUKE UNIVERSITY
27,25,89.5,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)"
28,26,88.8,UNIVERSITY OF HONG KONG (HKU)
29,30,88.5,UNIVERSITY OF BRISTOL
30,33,86.9,THE UNIVERSITY OF MANCHESTER
31,32,86.7,THE UNIVERSITY OF TOKYO
31,35,86.7,SEOUL NATIONAL UNIVERSITY (SNU)
33,31,86.5,THE UNIVERSITY OF MELBOURNE
34,29,86,NORTHWESTERN UNIVERSITY
35,41,85,ECOLE POLYTECHNIQUE PARISTECH
36,35,84.7,KYOTO UNIVERSITY
37,40,84.3,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)"
37,38,84.3,THE UNIVERSITY OF SYDNEY
39,41,84,NANYANG TECHNOLOGICAL UNIVERSITY (NTU)
40,34,83.3,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST)
41,44,82.5,NEW YORK UNIVERSITY (NYU)
41,37,82.5,UNIVERSITY OF WISCONSIN-MADISON
43,43,82.4,THE UNIVERSITY OF QUEENSLAND (UQ)
44,49,82.3,UNIVERSITY OF BRITISH COLUMBIA
45,45,82,UNIVERSITY OF COPENHAGEN
46,39,81.9,THE CHINESE UNIVERSITY OF HONG KONG (CUHK)
47,48,81.3,TSINGHUA UNIVERSITY
48,52,81.2,THE UNIVERSITY OF NEW SOUTH WALES (UNSW)
49,50,81.1,RUPRECHT-KARLS-UNIVERSITﾀT HEIDELBERG
50,58,80.5,UNIVERSITY OF AMSTERDAM
51,60,79.9,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
52,65,79.8,LUDWIG-MAXIMILIANS-UNIVERSITﾀT MﾆNCHEN
52,47,79.8,BROWN UNIVERSITY
54,53,79.7,TECHNISCHE UNIVERSITﾀT MﾆNCHEN
55,55,79.6,OSAKA UNIVERSITY
55,51,79.6,UNIVERSITY OF GLASGOW
57,46,78.8,PEKING UNIVERSITY
57,78,78.8,UNIVERSITY OF ZURICH
59,63,78.6,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)"
60,67,78.3,LUND UNIVERSITY
61,64,78.1,THE UNIVERSITY OF WARWICK
62,54,77.5,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
63,56,76.9,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN
64,62,76.7,UNIVERSITY OF BIRMINGHAM
65,59,76.5,UNIVERSITY OF WASHINGTON
65,57,76.5,CARNEGIE MELLON UNIVERSITY
67,69,76.4,UNIVERSITY OF HELSINKI
68,66,76.3,TOKYO INSTITUTE OF TECHNOLOGY
69,71,75.7,THE UNIVERSITY OF SHEFFIELD
70,69,75.5,MONASH UNIVERSITY
71,88,75.3,FUDAN UNIVERSITY
71,68,75.3,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE)
71,75,75.3,TOHOKU UNIVERSITY
71,61,75.3,TRINITY COLLEGE DUBLIN (TCD)
75,74,75.2,LEIDEN UNIVERSITY
76,82,75.1,NATIONAL TAIWAN UNIVERSITY (NTU)
77,75,74.9,THE UNIVERSITY OF NOTTINGHAM
78,79,74.8,BOSTON UNIVERSITY
79,71,74.6,UNIVERSITY OF TEXAS AT AUSTIN
80,81,74.5,UTRECHT UNIVERSITY
81,79,74.2,UPPSALA UNIVERSITY
82,77,74.1,KATHOLIEKE UNIVERSITEIT LEUVEN
83,92,73.6,UNIVERSITﾃ DE MONTRﾃAL
84,96,73.3,UNIVERSITY OF ALBERTA
85,71,73.1,UNIVERSITY OF GENEVA
86,95,72.9,DELFT UNIVERSITY OF TECHNOLOGY
86,107,72.9,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH)
88,83,72.7,UNIVERSITY OF ST ANDREWS
89,84,72.6,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA)
90,97,72.1,UNIVERSITY OF GRONINGEN
90,92,72.1,ERASMUS UNIVERSITY ROTTERDAM
92,94,72,THE UNIVERSITY OF AUCKLAND
92,90,72,DURHAM UNIVERSITY
94,86,71.9,UNIVERSITY OF SOUTHAMPTON
95,85,71.7,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)"
96,91,71.6,AARHUS UNIVERSITY
97,97,71.3,UNIVERSITY OF LEEDS
98,115,71.2,"QUEEN MARY, UNIVERSITY OF LONDON (QMUL)"
99,86,70.8,WASHINGTON UNIVERSITY IN ST. LOUIS
100,104,70.5,THE UNIVERSITY OF ADELAIDE
101,89,70.1,UNIVERSITY OF OSLO
102,99,69.5,PURDUE UNIVERSITY
103,99,69.4,NAGOYA UNIVERSITY
104,123,69.1,SHANGHAI JIAO TONG UNIVERSITY
105,111,68.9,UNIVERSITY OF LAUSANNE
106,114,68.4,YONSEI UNIVERSITY
107,99,68.3,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH)
108,104,68.2,CITY UNIVERSITY OF HONG KONG
109,113,68.1,OHIO STATE UNIVERSITY
110,118,67.9,"KTH, ROYAL INSTITUTE OF TECHNOLOGY"
111,106,67.7,UNIVERSITY OF PITTSBURGH
112,107,67.5,PENNSYLVANIA STATE UNIVERSITY
113,140,67.4,MCMASTER UNIVERSITY
114,120,66.9,LOMONOSOV MOSCOW STATE UNIVERSITY
115,112,66.2,UNIVERSITﾃ PIERRE ET MARIE CURIE (UPMC)
116,145,66,KOREA UNIVERSITY
116,110,66,UNIVERSITY OF BASEL
118,121,65.8,MAASTRICHT UNIVERSITY
119,102,65.7,UNIVERSITY OF MINNESOTA
120,114,65.1,UNIVERSITY OF YORK
121,102,64.8,UNIVERSITﾀT FREIBURG
122,116,64.7,"UNIVERSITY OF MARYLAND, COLLEGE PARK"
123,136,64.5,CARDIFF UNIVERSITY
123,130,64.5,UNIVERSITY OF LIVERPOOL
123,134,64.5,TECHNICAL UNIVERSITY OF DENMARK
126,133,64.4,KYUSHU UNIVERSITY
127,116,64.3,"KIT, KARLSRUHER INSTITUT FﾆR TECHNOLOGIE"
127,129,64.3,NEWCASTLE UNIVERSITY
129,122,64.2,UNIVERSITY OF GHENT
129,136,64.2,RICE UNIVERSITY
131,125,64,UNIVERSITY OF SOUTHERN CALIFORNIA
132,127,63.9,UNIVERSIDADE DE S�O PAULO (USP)
132,130,63.9,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)"
134,126,63.7,HUMBOLDT-UNIVERSITﾀT ZU BERLIN
135,144,63.4,HOKKAIDO UNIVERSITY
136,119,63.3,DARTMOUTH COLLEGE
137,148,62.9,UNIVERSITY OF ABERDEEN
138,141,62.7,HEBREW UNIVERSITY OF JERUSALEM
139,139,62.6,UNIVERSITY COLLEGE DUBLIN (UCD)
140,162,62.2,SUNGKYUNKWAN UNIVERSITY
141,145,62,UNIVERSITY OF CAPE TOWN
141,134,62,EBERHARD KARLS UNIVERSITﾀT TﾆBINGEN
141,132,62,UNIVERSITY OF VIRGINIA
144,165,61.9,ZHEJIANG UNIVERSITY
145,154,61.8,UNIVERSITY OF BERN
146,128,61.5,GEORG-AUGUST-UNIVERSITﾀT GﾅTTINGEN
147,147,61.2,RHEINISCH-WESTFﾀLISCHE TECHNISCHE HOCHSCHULE AACHEN
147,174,61.2,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA
147,157,61.2,EINDHOVEN UNIVERSITY OF TECHNOLOGY
150,109,61.1,FREIE UNIVERSITﾀT BERLIN
151,167,61,UNIVERSITI MALAYA (UM)
151,150,61,WAGENINGEN UNIVERSITY
153,149,60.8,"UNIVERSITY OF CALIFORNIA, IRVINE (UCI)"
154,138,60.7,UNIVERSITﾃ CATHOLIQUE DE LOUVAIN (UCL)
155,151,60.3,UNIVERSITY OF BERGEN
156,158,60,UNIVERSITﾀT WIEN
156,143,60,RADBOUD UNIVERSITY NIJMEGEN
156,141,60,EMORY UNIVERSITY
159,155,59.9,UNIVERSITY OF OTAGO
160,156,59.7,LANCASTER UNIVERSITY
161,168,59.6,UNIVERSITY OF EXETER
162,175,59.3,NANJING UNIVERSITY
162,161,59.3,THE HONG KONG POLYTECHNIC UNIVERSITY
164,151,59,UNIVERSITY OF ROCHESTER
165,153,58.8,TEXAS A&M UNIVERSITY
166,178,58.7,UNIVERSITAT DE BARCELONA (UB)
167,166,58.3,PONTIFICIA UNIVERSIDAD CAT�LICA DE CHILE
167,199,58.3,NATIONAL TSING HUA UNIVERSITY
169,180,57.8,UNIVERSITY OF WATERLOO
170,172,57.7,QUEEN'S UNIVERSITY OF BELFAST
171,181,57.6,VRIJE UNIVERSITEIT AMSTERDAM
171,201,57.6,UNIVERSITY OF CALGARY
173,177,57.5,UNIVERSITAT AUT�NOMA DE BARCELONA
173,168,57.5,UNIVERSITﾃ LIBRE DE BRUXELLES (ULB)
175,163,56.9,UNIVERSIDAD NACIONAL AUT�NOMA DE M�XICO (UNAM)
175,202,56.9,CHALMERS UNIVERSITY OF TECHNOLOGY
177,163,56.8,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITﾀT BONN
178,195,56.5,UNIVERSIDAD AUT�NOMA DE MADRID
179,158,56.3,ECOLE NORMALE SUPﾃRIEURE DE LYON
179,187,56.3,UNIVERSITY OF BATH
181,172,56.2,VRIJE UNIVERSITEIT BRUSSEL (VUB)
182,188,55.8,UNIVERSIT� DI BOLOGNA (UNIBO)
182,170,55.8,STOCKHOLM UNIVERSITY
182,160,55.8,UNIVERSITY OF COLORADO AT BOULDER
182,181,55.8,VANDERBILT UNIVERSITY
186,192,55.7,"UNIVERSITY OF ILLINOIS, CHICAGO (UIC)"
187,189,55.5,QUEEN'S UNIVERSITY
187,196,55.5,AALTO UNIVERSITY
189,175,55.4,CASE WESTERN RESERVE UNIVERSITY
190,183,55.3,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY
191,199,55.2,WESTERN UNIVERSITY
192,183,54.9,TECHNISCHE UNIVERSITﾀT BERLIN
192,186,54.9,UNIVERSITﾀT HAMBURG
192,179,54.9,UNIVERSITY OF FLORIDA
195,171,54.6,MICHIGAN STATE UNIVERSITY
195,196,54.6,TEL AVIV UNIVERSITY
197,193,54.4,KEIO UNIVERSITY
198,209,54.3,UNIVERSIDAD DE BUENOS AIRES
198,210,54.3,UNIVERSITY OF TSUKUBA
200,193,53.9,UNIVERSITY OF SUSSEX
200,189,53.9,GEORGETOWN UNIVERSITY
202,196,53.8,SAPIENZA - UNIVERSIT� DI ROMA
202,213,53.8,UNIVERSITY OF READING
202,230,53.8,NATIONAL CHIAO TUNG UNIVERSITY
205,185,53.6,UNIVERSITY OF ANTWERP
206,215,53.5,UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP)
206,205,53.5,UNIVERSITY OF GOTHENBURG
208,205,53.4,UNIVERSITY OF TURKU
209,189,53.3,UNIVERSITﾃ PARIS-SUD 11
210,205,53,UNIVERSITﾃ PARIS DIDEROT - PARIS 7
211,202,52.7,UNIVERSITY OF LEICESTER
212,216,52.2,UNIVERSIDAD COMPLUTENSE DE MADRID (UCM)
212,228,52.2,UNIVERSITY OF TWENTE
214,204,51.9,TUFTS UNIVERSITY
215,220,51.8,UNIVERSITﾃ JOSEPH FOURIER - GRENOBLE 1
215,212,51.8,UNIVERSITY OF ARIZONA
217,208,51.6,UNIVERSITﾀT FRANKFURT AM MAIN
218,227,51.3,UNIVERSITY OF OTTAWA
219,249,51.1,HANYANG UNIVERSITY
220,223,50.9,UNIVERSIDAD DE CHILE
220,220,50.9,WASEDA UNIVERSITY
222,233,50.7,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB)
222,244,50.7,SIMON FRASER UNIVERSITY
222,214,50.7,SCIENCES PO PARIS
225,216,50.5,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM)
226,226,50.4,UNIVERSITﾃ DE STRASBOURG
227,216,50.3,UNIVERSITﾃ PARIS-SORBONNE (PARIS IV)
228,225,50,UNIVERSITﾃ PARIS 1 PANTHﾃON-SORBONNE
229,230,49.9,POLITECNICO DI MILANO
230,210,49.5,UNIVERSITY COLLEGE CORK (UCC)
230,219,49.5,UNIVERSITY OF DUNDEE
232,247,49.3,NATIONAL CHENG KUNG UNIVERSITY
233,240,49.2,SAINT-PETERSBURG STATE UNIVERSITY
234,262,49.1,TECHNISCHE UNIVERSITﾀT DRESDEN
235,222,48.6,INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD)
235,244,48.6,DALHOUSIE UNIVERSITY
237,224,48.5,UNIVERSITY OF NOTRE DAME
238,235,48.2,UNIVERSIT� DEGLI STUDI DI MILANO
239,232,47.6,UNIVERSITY OF MIAMI
240,252,47.4,BEIJING NORMAL UNIVERSITY
240,229,47.4,UNIVERSITY OF EAST ANGLIA (UEA)
242,238,47.2,UNIVERSITY OF CANTERBURY
243,239,47.1,CHULALONGKORN UNIVERSITY
244,233,47,CHARLES UNIVERSITY
245,259,46.9,UNIVERSIT� DI PISA
246,251,46.4,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY
246,264,46.4,TECHNISCHE UNIVERSITﾀT WIEN
246,257,46.4,UNIVERSITY OF STRATHCLYDE
249,236,46.2,WESTFﾀLISCHE WILHELMS-UNIVERSITﾀT MﾆNSTER
249,253,46.2,KING SAUD UNIVERSITY (KSU)
249,250,46.2,AMERICAN UNIVERSITY OF BEIRUT (AUB)
249,258,46.2,UNIVERSITﾀT ULM
253,279,46.1,TECNOL�GICO DE MONTERREY (ITESM)
254,263,45.8,MACQUARIE UNIVERSITY
254,315,45.8,UNIVERSIDAD DE NAVARRA
256,295,45.6,NATIONAL YANG MING UNIVERSITY
257,283,45.5,MAHIDOL UNIVERSITY
257,298,45.5,UNIVERSITY OF NEWCASTLE
259,269,45.4,UNIVERSITI KEBANGSAAN MALAYSIA (UKM)
259,253,45.4,UNIVERSITY OF OULU
261,268,45.2,"UNIVERSITY OF CALIFORNIA, RIVERSIDE (UCR)"
262,267,45.1,UNIVERSIT� DEGLI STUDI DI PADOVA (UNIPD)
262,274,45.1,UNIVERSIDAD DE LOS ANDES COLOMBIA
264,272,45,"UNIVERSITY OF TECHNOLOGY, SYDNEY (UTS)"
265,244,44.9,LOUGHBOROUGH UNIVERSITY
265,307,44.9,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)"
267,289,44.8,UMEﾁ UNIVERSITY
267,291,44.8,UNIVERSITY OF EASTERN FINLAND
269,260,44.7,TECHNISCHE UNIVERSITﾀT DARMSTADT
269,236,44.7,UNIVERSITY OF IOWA
271,284,44.5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
272,240,44.4,INDIANA UNIVERSITY BLOOMINGTON
272,240,44.4,UNIVERSITY OF LIEGE
274,248,44.3,UNIVERSITﾀT STUTTGART
275,265,44.2,VICTORIA UNIVERSITY OF WELLINGTON
275,255,44.2,KYUNG HEE UNIVERSITY
275,265,44.2,ROYAL HOLLOWAY UNIVERSITY OF LONDON
278,274,44,UNIVERSITﾃ PARIS DESCARTES
279,255,43.7,"RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK"
280,284,43.6,"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)"
280,269,43.6,YESHIVA UNIVERSITY
282,261,43.5,"UNIVERSITY OF MASSACHUSETTS, AMHERST"
283,331,43.4,LINKﾅPING UNIVERSITY
283,276,43.4,UNIVERSITY OF WOLLONGONG
285,279,43.2,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT)
285,278,43.2,UNIVERSITﾀT ERLANGEN-NﾆRNBERG
287,317,43.1,UNIVERSIDAD AUSTRAL
288,289,42.9,UNIVERSITﾀT INNSBRUCK
289,311,42.3,UNIVERSITﾀT LEIPZIG
290,321,42.2,UNIVERSITY OF VICTORIA
290,299,42.2,ﾃCOLE DES PONTS PARISTECH
292,331,42.1,BEN GURION UNIVERSITY OF THE NEGEV
293,343,42,UNIVERSITY OF PORTO
294,293,41.9,ARIZONA STATE UNIVERSITY
294,304,41.9,KOBE UNIVERSITY
294,355,41.9,UNIVERSITI TEKNOLOGI MALAYSIA (UTM)
294,276,41.9,TOKYO MEDICAL AND DENTAL UNIVERSITY
298,281,41.7,UNIVERSITAT POMPEU FABRA
298,329,41.7,LAVAL UNIVERSITY
300,295,41.6,INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK)
300,327,41.6,GEORGE WASHINGTON UNIVERSITY
300,297,41.6,JOHANNES GUTENBERG UNIVERSITﾀT MAINZ
300,291,41.6,RMIT UNIVERSITY
300,302,41.6,UNIVERSITY AT BUFFALO SUNY
305,320,41.3,UNIVERSIT� DEGLI STUDI DI ROMA - TOR VERGATA
305,243,41.3,UNIVERSITﾀT KﾅLN
305,299,41.3,AL-FARABI KAZAKH NATIONAL UNIVERSITY
308,311,41.1,UNIVERSITY OF SOUTHERN DENMARK
309,355,41,UNIVERSITI SAINS MALAYSIA (USM)
310,309,40.9,UNIVERSITY OF INDONESIA
310,273,40.9,UNIVERSITﾀT KONSTANZ
312,353,40.8,UNIVERSIDADE NOVA DE LISBOA
313,271,40.7,UNIVERSITY OF UTAH
314,307,40.5,HIROSHIMA UNIVERSITY
314,284,40.5,UNIVERSITY OF SURREY
316,325,40.4,UNIVERSIDAD NACIONAL DE COLOMBIA
316,324,40.4,BRANDEIS UNIVERSITY
318,313,40.3,UNIVERSITY OF THE WITWATERSRAND
318,299,40.3,UNIVERSITY OF JYVﾀSKYLﾀ
318,288,40.3,HONG KONG BAPTIST UNIVERSITY (HKBU)
321,384,40.2,SUN YAT-SEN UNIVERSITY
321,313,40.2,INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM)
323,334,40.1,BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY
324,346,40,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP)
324,341,40,GRIFFITH UNIVERSITY
324,303,40,L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY
324,327,40,UNIVERSITY OF HAWAII AT M_ﾁNOA
328,363,39.9,NANKAI UNIVERSITY
328,352,39.9,NOVOSIBIRSK STATE UNIVERSITY
328,281,39.9,UNIVERSITﾀT MANNHEIM
331,337,39.8,"SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON"
331,284,39.8,CURTIN UNIVERSITY
333,341,39.7,UNIVERSITY OF SOUTH AUSTRALIA (UNISA)
334,360,39.6,KING ABDUL AZIZ UNIVERSITY (KAU)
335,338,39.5,UNIVERSITY OF WARSAW
335,  401-410,39.5,WUHAN UNIVERSITY
337,345,39.3,UNIVERSITAT POLIT�CNICA DE CATALUNYA
338,334,39.2,ECOLE NORMALE SUPﾃRIEURE DE CACHAN
338,306,39.2,UNIVERSITY OF TROMSO
338,329,39.2,WAKE FOREST UNIVERSITY
341,355,39.1,UNIVERSITﾃ AIX-MARSEILLE
341,347,39.1,CITY UNIVERSITY LONDON
341,331,39.1,BOSTON COLLEGE
341,325,39.1,JULIUS-MAXIMILIANS-UNIVERSITﾀT WﾆRZBURG
345,397,39,UNIVERSIT� DEGLI STUDI DI NAPOLI FEDERICO II
346,343,38.9,MASSEY UNIVERSITY
347,349,38.8,PONTIFICIA UNIVERSIDAD JAVERIANA
348,370,38.5,UNIVERSITﾀT BREMEN
348,321,38.5,IOWA STATE UNIVERSITY
350,351,38.4,JAMES COOK UNIVERSITY (JCU)
351,358,38.3,UNIVERSITY OF COIMBRA
352,379,38.1,UNIVERSIT� DEGLI STUDI DI FIRENZE (UNIFI)
352,369,38.1,HERIOT-WATT UNIVERSITY
352,338,38.1,STONY BROOK UNIVERSITY
355,317,38,UNIVERSIDAD CARLOS III DE MADRID
355,316,38,VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH)
355,362,38,EWHA WOMANS UNIVERSITY
355,360,38,BRUNEL UNIVERSITY
359,353,37.7,RENSSELAER POLYTECHNIC INSTITUTE
360,380,37.5,DEAKIN UNIVERSITY
360,348,37.5,AMERICAN UNIVERSITY IN CAIRO
362,  431-440,37.4,TAMPERE UNIVERSITY OF TECHNOLOGY
363,309,37.3,UNIVERSITﾃ DE BORDEAUX
363,334,37.3,AALBORG UNIVERSITY
365,370,37.1,POLITECNICO DI TORINO
366,349,37,DUBLIN CITY UNIVERSITY (DCU)
367,380,36.9,UNIVERSITY OF THE PHILIPPINES
367,373,36.9,TILBURG UNIVERSITY
367,358,36.9,UNIVERSITﾃ PARIS DAUPHINE
370,338,36.8,UNIVERSITY OF ESSEX
371,376,36.6,JAGIELLONIAN UNIVERSITY
371,  411-420,36.6,UNIVERSIT� DEGLI STUDI DI PAVIA (UNIPV)
371,  411-420,36.6,NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY
371,376,36.6,UNIVERSITY OF KANSAS
375,317,36.5,UNIVERSITY OF MISSISSIPPI
376,  411-420,36.4,UNIVERSITI PUTRA MALAYSIA (UPM)
377,  451-460,36.2,UNIVERSIT� CATTOLICA DEL SACRO CUORE
377,366,36.2,UNIVERSITY OF TEXAS DALLAS
379,  461-470,36.1,UNIVERSITY OF TARTU
379,366,36.1,WASHINGTON STATE UNIVERSITY
379,374,36.1,OXFORD BROOKES UNIVERSITY
379,363,36.1,TAIPEI MEDICAL UNIVERSITY
379,372,36.1,XI'AN JIAOTONG UNIVERSITY
384,  401-410,36,SOGANG UNIVERSITY
385,389,35.9,POLITﾃCNICA DE MADRID
385,  421-430,35.9,UNITED ARAB EMIRATES UNIVERSITY
385,376,35.9,UNIVERSITY OF TAMPERE
388,366,35.8,RUHR-UNIVERSITﾀT BOCHUM
388,304,35.8,NORTH CAROLINA STATE UNIVERSITY
390,387,35.6,STELLENBOSCH UNIVERSITY
390,  431-440,35.6,AMERICAN UNIVERSITY OF SHARJAH
390,399,35.6,ASTON UNIVERSITY
393,  481-490,35.5,TONGJI UNIVERSITY
394,399,35.2,UNIVERSIT� DEGLI STUDI DI TORINO (UNITO)
395,  401-410,35,UNIVERSITﾀT REGENSBURG
396,293,34.9,CHRISTIAN-ALBRECHTS-UNIVERSITﾀT ZU KIEL
397,363,34.8,UNIVERSITﾀT JENA
397,  421-430,34.8,UNIVERSITY OF NEW MEXICO
399,  431-440,34.7,BILKENT UNIVERSITY
399,  461-470,34.7,BOGAZIﾂI ﾆNIVERSITESI
399,386,34.7,MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS (MGIMO-UNIVERSITY)
399,397,34.7,NORTHEASTERN UNIVERSITY
401-410,  411-420,34.6,UNIVERSITﾃ CLAUDE BERNARD LYON 1
401-410,  431-440,34.2,MIDDLE EAST TECHNICAL UNIVERSITY
401-410,-,34.3,INSTITUT NATIONAL DES SCIENCES APPLIQUﾃES DE LYON (INSA)
401-410,390,34,INSTITUTO TECNOL�GICO DE BUENOS AIRES (ITBA)
401-410,390,34,LA TROBE UNIVERSITY
401-410,  401-410,34.3,NATIONAL CENTRAL UNIVERSITY
401-410,321,34,PONTIFICIA UNIVERSIDAD CAT�LICA ARGENTINA SANTA MAR�A DE LOS BUENOS AIRES (UCA)
401-410,380,34.3,UNIVERSITY OF CONNECTICUT
401-410,  401-410,34.6,UNIVERSITY OF TASMANIA
401-410,  401-410,34.5,UNIVERSITY OF WAIKATO
411-420,  481-490,33.4,NATIONAL TAIWAN NORMAL UNIVERSITY
411-420,394,33.9,KARL-FRANZENS-UNIVERSITﾀT GRAZ
411-420,  441-450,33.7,UNIVERSIT� DEGLI STUDI DI TRENTO
411-420,  451-460,33.2,CZECH TECHNICAL UNIVERSITY IN PRAGUE
411-420,  481-490,33.2,LINCOLN UNIVERSITY
411-420,  441-450,33.6,"MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY, RUSSIA"
411-420,394,33.3,UNIVERSITﾀT DﾆSSELDORF
411-420,385,33.3,"UNIVERSITﾃ MONTPELLIER 2, SCIENCES ET TECHNIQUES DU LANGUEDOC"
421-430,  441-450,33.1,UNIVERSITY OF DELHI
421-430,  401-410,32.9,YORK UNIVERSITY
421-430,  491-500,33.1,"UNIVERSIDADE ESTADUAL PAULISTA ""J�LIO DE MESQUITA FILHO"""
421-430,  451-460,33.1,LEIBNIZ UNIVERSITﾀT HANNOVER
421-430,  441-450,33,TARAS SHEVCHENKO NATIONAL UNIVERSITY OF KYIV
421-430,387,33,TULANE UNIVERSITY
421-430,  421-430,33,UNIVERSIDAD DE SAN ANDRﾃS
421-430,383,33.1,UNIVERSIDAD POLITECNICA DE VALENCIA
421-430,  411-420,32.9,UNIVERSIDADE FEDERAL DE S�O PAULO (UNIFESP)
421-430,  411-420,32.9,UNIVERSITY OF ST GALLEN (HSG)
